id_number,pokedex_number,name,generation,status,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_1,egg_type_2,percentage_male,egg_cycles
151,117,Seadra,1,Normal,Dragon Pokémon,Water,,1.2,25,Poison Point,Sniper,Damp,55,65,95,95,45,85,75,70,154,Medium Fast,Dragon,Water 1,50,20
152,118,Goldeen,1,Normal,Goldfish Pokémon,Water,,0.6,15,Swift Swim,Water Veil,Lightning Rod,45,67,60,35,50,63,225,70,64,Medium Fast,Water 2,,50,20
153,119,Seaking,1,Normal,Goldfish Pokémon,Water,,1.3,39,Swift Swim,Water Veil,Lightning Rod,80,92,65,65,80,68,60,70,158,Medium Fast,Water 2,,50,20
154,120,Staryu,1,Normal,Star Shape Pokémon,Water,,0.8,34.5,Illuminate,Natural Cure,Analytic,30,45,55,70,55,85,225,70,68,Slow,Water 3,,,20
155,121,Starmie,1,Normal,Mysterious Pokémon,Water,Psychic,1.1,80,Illuminate,Natural Cure,Analytic,60,75,85,100,85,115,60,70,182,Slow,Water 3,,,20
156,122,Mr. Mime,1,Normal,Barrier Pokémon,Psychic,Fairy,1.3,54.5,Soundproof,Filter,Technician,40,45,65,100,120,90,45,70,161,Medium Fast,Human-Like,,50,25
157,122,Galarian Mr. Mime,1,Normal,Dancing Pokémon,Psychic,Ice,1.4,56.8,Vital Spirit,Screen Cleaner,Ice Body,50,65,65,90,90,100,,,,Medium Fast,Human-Like,,,25
158,123,Scyther,1,Normal,Mantis Pokémon,Bug,Flying,1.5,56,Swarm,Technician,Steadfast,70,110,80,55,80,105,45,70,100,Medium Fast,Bug,,50,25
159,124,Jynx,1,Normal,Human Shape Pokémon,Ice,Psychic,1.4,40.6,Oblivious,Forewarn,Dry Skin,65,50,35,115,95,95,45,70,159,Medium Fast,Human-Like,,0,25
160,125,Electabuzz,1,Normal,Electric Pokémon,Electric,,1.1,30,Static,,Vital Spirit,65,83,57,95,85,105,45,70,172,Medium Fast,Human-Like,,75,25
161,126,Magmar,1,Normal,Spitfire Pokémon,Fire,,1.3,44.5,Flame Body,,Vital Spirit,65,95,57,100,85,93,45,70,173,Medium Fast,Human-Like,,75,25
162,127,Pinsir,1,Normal,Stag Beetle Pokémon,Bug,,1.5,55,Hyper Cutter,Mold Breaker,Moxie,65,125,100,55,70,85,45,70,175,Slow,Bug,,50,25
163,127,Mega Pinsir,1,Normal,Stag Beetle Pokémon,Bug,Flying,1.7,59,Aerilate,,,65,155,120,65,90,105,45,70,210,Slow,Bug,,50,25
164,128,Tauros,1,Normal,Wild Bull Pokémon,Normal,,1.4,88.4,Intimidate,Anger Point,Sheer Force,75,100,95,40,70,110,45,70,172,Slow,Field,,100,20
165,129,Magikarp,1,Normal,Fish Pokémon,Water,,0.9,10,Swift Swim,,Rattled,20,10,55,15,20,80,255,70,40,Slow,Dragon,Water 2,50,5
166,130,Gyarados,1,Normal,Atrocious Pokémon,Water,Flying,6.5,235,Intimidate,,Moxie,95,125,79,60,100,81,45,70,189,Slow,Dragon,Water 2,50,5
167,130,Mega Gyarados,1,Normal,Atrocious Pokémon,Water,Dark,6.5,305,Mold Breaker,,,95,155,109,70,130,81,45,70,224,Slow,Dragon,Water 2,50,5
168,131,Lapras,1,Normal,Transport Pokémon,Water,Ice,2.5,220,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,45,70,187,Slow,Monster,Water 1,50,40
169,132,Ditto,1,Normal,Transform Pokémon,Normal,,0.3,4,Limber,,Imposter,48,48,48,48,48,48,35,70,101,Medium Fast,Ditto,,,20
170,133,Eevee,1,Normal,Evolution Pokémon,Normal,,0.3,6.5,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,45,70,65,Medium Fast,Field,,87.5,35
171,133,Partner Eevee,1,Normal,Evolution Pokémon,Normal,,0.3,6.5,,,Anticipation,65,75,70,65,85,75,45,70,65,Medium Fast,,,87.5,35
172,134,Vaporeon,1,Normal,Bubble Jet Pokémon,Water,,1,29,Water Absorb,,Hydration,130,65,60,110,95,65,45,70,184,Medium Fast,Field,,87.5,35
173,135,Jolteon,1,Normal,Lightning Pokémon,Electric,,0.8,24.5,Volt Absorb,,Quick Feet,65,65,60,110,95,130,45,70,184,Medium Fast,Field,,87.5,35
174,136,Flareon,1,Normal,Flame Pokémon,Fire,,0.9,25,Flash Fire,,Guts,65,130,60,95,110,65,45,70,184,Medium Fast,Field,,87.5,35
175,137,Porygon,1,Normal,Virtual Pokémon,Normal,,0.8,36.5,Trace,Download,Analytic,65,60,70,85,75,40,45,70,79,Medium Fast,Mineral,,,20
176,138,Omanyte,1,Normal,Spiral Pokémon,Rock,Water,0.4,7.5,Swift Swim,Shell Armor,Weak Armor,35,40,100,90,55,35,45,70,71,Medium Fast,Water 1,Water 3,87.5,30
177,139,Omastar,1,Normal,Spiral Pokémon,Rock,Water,1,35,Swift Swim,Shell Armor,Weak Armor,70,60,125,115,70,55,45,70,173,Medium Fast,Water 1,Water 3,87.5,30
178,140,Kabuto,1,Normal,Shellfish Pokémon,Rock,Water,0.5,11.5,Swift Swim,Battle Armor,Weak Armor,30,80,90,55,45,55,45,70,71,Medium Fast,Water 1,Water 3,87.5,30
179,141,Kabutops,1,Normal,Shellfish Pokémon,Rock,Water,1.3,40.5,Swift Swim,Battle Armor,Weak Armor,60,115,105,65,70,80,45,70,173,Medium Fast,Water 1,Water 3,87.5,30
180,142,Aerodactyl,1,Normal,Fossil Pokémon,Rock,Flying,1.8,59,Rock Head,Pressure,Unnerve,80,105,65,60,75,130,45,70,180,Slow,Flying,,87.5,35
181,142,Mega Aerodactyl,1,Normal,Fossil Pokémon,Rock,Flying,2.1,79,Tough Claws,,,80,135,85,70,95,150,45,70,215,Slow,Flying,,87.5,35
182,143,Snorlax,1,Normal,Sleeping Pokémon,Normal,,2.1,460,Immunity,Thick Fat,Gluttony,160,110,65,65,110,30,25,70,189,Slow,Monster,,87.5,40
183,144,Articuno,1,Sub Legendary,Freeze Pokémon,Ice,Flying,1.7,55.4,Pressure,,Snow Cloak,90,85,100,95,125,85,3,35,261,Slow,Undiscovered,,,80
184,145,Zapdos,1,Sub Legendary,Electric Pokémon,Electric,Flying,1.6,52.6,Pressure,,Static,90,90,85,125,90,100,3,35,261,Slow,Undiscovered,,,80
185,146,Moltres,1,Sub Legendary,Flame Pokémon,Fire,Flying,2,60,Pressure,,Flame Body,90,100,90,125,85,90,3,35,261,Slow,Undiscovered,,,80
186,147,Dratini,1,Normal,Dragon Pokémon,Dragon,,1.8,3.3,Shed Skin,,Marvel Scale,41,64,45,50,50,50,45,35,60,Slow,Dragon,Water 1,50,40
187,148,Dragonair,1,Normal,Dragon Pokémon,Dragon,,4,16.5,Shed Skin,,Marvel Scale,61,84,65,70,70,70,45,35,147,Slow,Dragon,Water 1,50,40
188,149,Dragonite,1,Normal,Dragon Pokémon,Dragon,Flying,2.2,210,Inner Focus,,Multiscale,91,134,95,100,100,80,45,35,270,Slow,Dragon,Water 1,50,40
189,150,Mewtwo,1,Legendary,Genetic Pokémon,Psychic,,2,122,Pressure,,Unnerve,106,110,90,154,90,130,3,0,306,Slow,Undiscovered,,,120
190,150,Mega Mewtwo X,1,Legendary,Genetic Pokémon,Psychic,Fighting,2.3,127,Steadfast,,,106,190,100,154,100,130,3,0,351,Slow,Undiscovered,,,120
191,150,Mega Mewtwo Y,1,Legendary,Genetic Pokémon,Psychic,,1.5,33,Insomnia,,,106,150,70,194,120,140,3,0,351,Slow,Undiscovered,,,120
192,151,Mew,1,Mythical,New Species Pokémon,Psychic,,0.4,4,Synchronize,,,100,100,100,100,100,100,45,100,270,Medium Slow,Undiscovered,,,120
193,152,Chikorita,2,Normal,Leaf Pokémon,Grass,,0.9,6.4,Overgrow,,Leaf Guard,45,49,65,49,65,45,45,70,64,Medium Slow,Grass,Monster,87.5,20
194,153,Bayleef,2,Normal,Leaf Pokémon,Grass,,1.2,15.8,Overgrow,,Leaf Guard,60,62,80,63,80,60,45,70,142,Medium Slow,Grass,Monster,87.5,20
195,154,Meganium,2,Normal,Herb Pokémon,Grass,,1.8,100.5,Overgrow,,Leaf Guard,80,82,100,83,100,80,45,70,236,Medium Slow,Grass,Monster,87.5,20
196,155,Cyndaquil,2,Normal,Fire Mouse Pokémon,Fire,,0.5,7.9,Blaze,,Flash Fire,39,52,43,60,50,65,45,70,62,Medium Slow,Field,,87.5,20
197,156,Quilava,2,Normal,Volcano Pokémon,Fire,,0.9,19,Blaze,,Flash Fire,58,64,58,80,65,80,45,70,142,Medium Slow,Field,,87.5,20
198,157,Typhlosion,2,Normal,Volcano Pokémon,Fire,,1.7,79.5,Blaze,,Flash Fire,78,84,78,109,85,100,45,70,240,Medium Slow,Field,,87.5,20
199,158,Totodile,2,Normal,Big Jaw Pokémon,Water,,0.6,9.5,Torrent,,Sheer Force,50,65,64,44,48,43,45,70,63,Medium Slow,Monster,Water 1,87.5,20
200,159,Croconaw,2,Normal,Big Jaw Pokémon,Water,,1.1,25,Torrent,,Sheer Force,65,80,80,59,63,58,45,70,142,Medium Slow,Monster,Water 1,87.5,20
201,160,Feraligatr,2,Normal,Big Jaw Pokémon,Water,,2.3,88.8,Torrent,,Sheer Force,85,105,100,79,83,78,45,70,239,Medium Slow,Monster,Water 1,87.5,20
202,161,Sentret,2,Normal,Scout Pokémon,Normal,,0.8,6,Run Away,Keen Eye,Frisk,35,46,34,35,45,20,255,70,43,Medium Fast,Field,,50,15
203,162,Furret,2,Normal,Long Body Pokémon,Normal,,1.8,32.5,Run Away,Keen Eye,Frisk,85,76,64,45,55,90,90,70,145,Medium Fast,Field,,50,15
204,163,Hoothoot,2,Normal,Owl Pokémon,Normal,Flying,0.7,21.2,Insomnia,Keen Eye,Tinted Lens,60,30,30,36,56,50,255,70,52,Medium Fast,Flying,,50,15
205,164,Noctowl,2,Normal,Owl Pokémon,Normal,Flying,1.6,40.8,Insomnia,Keen Eye,Tinted Lens,100,50,50,86,96,70,90,70,158,Medium Fast,Flying,,50,15
206,165,Ledyba,2,Normal,Five Star Pokémon,Bug,Flying,1,10.8,Swarm,Early Bird,Rattled,40,20,30,40,80,55,255,70,53,Fast,Bug,,50,15
207,166,Ledian,2,Normal,Five Star Pokémon,Bug,Flying,1.4,35.6,Swarm,Early Bird,Iron Fist,55,35,50,55,110,85,90,70,137,Fast,Bug,,50,15
208,167,Spinarak,2,Normal,String Spit Pokémon,Bug,Poison,0.5,8.5,Swarm,Insomnia,Sniper,40,60,40,40,40,30,255,70,50,Fast,Bug,,50,15
209,168,Ariados,2,Normal,Long Leg Pokémon,Bug,Poison,1.1,33.5,Swarm,Insomnia,Sniper,70,90,70,60,70,40,90,70,140,Fast,Bug,,50,15
210,169,Crobat,2,Normal,Bat Pokémon,Poison,Flying,1.8,75,Inner Focus,,Infiltrator,85,90,80,70,80,130,90,70,241,Medium Fast,Flying,,50,15
211,170,Chinchou,2,Normal,Angler Pokémon,Water,Electric,0.5,12,Volt Absorb,Illuminate,Water Absorb,75,38,38,56,56,67,190,70,66,Slow,Water 2,,50,20
212,171,Lanturn,2,Normal,Light Pokémon,Water,Electric,1.2,22.5,Volt Absorb,Illuminate,Water Absorb,125,58,58,76,76,67,75,70,161,Slow,Water 2,,50,20
213,172,Pichu,2,Normal,Tiny Mouse Pokémon,Electric,,0.3,2,Static,,Lightning Rod,20,40,15,35,35,60,190,70,41,Medium Fast,Undiscovered,,50,10
214,173,Cleffa,2,Normal,Star Shape Pokémon,Fairy,,0.3,3,Cute Charm,Magic Guard,Friend Guard,50,25,28,45,55,15,150,140,44,Fast,Undiscovered,,25,10
215,174,Igglybuff,2,Normal,Balloon Pokémon,Normal,Fairy,0.3,1,Cute Charm,Competitive,Friend Guard,90,30,15,40,20,15,170,70,42,Fast,Undiscovered,,25,10
216,175,Togepi,2,Normal,Spike Ball Pokémon,Fairy,,0.3,1.5,Hustle,Serene Grace,Super Luck,35,20,65,40,65,20,190,70,49,Fast,Undiscovered,,87.5,10
217,176,Togetic,2,Normal,Happiness Pokémon,Fairy,Flying,0.6,3.2,Hustle,Serene Grace,Super Luck,55,40,85,80,105,40,75,70,142,Fast,Fairy,Flying,87.5,10
218,177,Natu,2,Normal,Tiny Bird Pokémon,Psychic,Flying,0.2,2,Synchronize,Early Bird,Magic Bounce,40,50,45,70,45,70,190,70,64,Medium Fast,Flying,,50,20
219,178,Xatu,2,Normal,Mystic Pokémon,Psychic,Flying,1.5,15,Synchronize,Early Bird,Magic Bounce,65,75,70,95,70,95,75,70,165,Medium Fast,Flying,,50,20
220,179,Mareep,2,Normal,Wool Pokémon,Electric,,0.6,7.8,Static,,Plus,55,40,40,65,45,35,235,70,56,Medium Slow,Field,Monster,50,20
221,180,Flaaffy,2,Normal,Wool Pokémon,Electric,,0.8,13.3,Static,,Plus,70,55,55,80,60,45,120,70,128,Medium Slow,Field,Monster,50,20
222,181,Ampharos,2,Normal,Light Pokémon,Electric,,1.4,61.5,Static,,Plus,90,75,85,115,90,55,45,70,230,Medium Slow,Field,Monster,50,20
223,181,Mega Ampharos,2,Normal,Light Pokémon,Electric,Dragon,1.4,61.5,Mold Breaker,,,90,95,105,165,110,45,45,70,275,Medium Slow,Field,Monster,50,20
224,182,Bellossom,2,Normal,Flower Pokémon,Grass,,0.4,5.8,Chlorophyll,,Healer,75,80,95,90,100,50,45,70,221,Medium Slow,Grass,,50,20
225,183,Marill,2,Normal,Aqua Mouse Pokémon,Water,Fairy,0.4,8.5,Thick Fat,Huge Power,Sap Sipper,70,20,50,20,50,40,190,70,88,Fast,Fairy,Water 1,50,10
226,184,Azumarill,2,Normal,Aqua Rabbit Pokémon,Water,Fairy,0.8,28.5,Thick Fat,Huge Power,Sap Sipper,100,50,80,60,80,50,75,70,189,Fast,Fairy,Water 1,50,10
227,185,Sudowoodo,2,Normal,Imitation Pokémon,Rock,,1.2,38,Sturdy,Rock Head,Rattled,70,100,115,30,65,30,65,70,144,Medium Fast,Mineral,,50,20
228,186,Politoed,2,Normal,Frog Pokémon,Water,,1.1,33.9,Water Absorb,Damp,Drizzle,90,75,75,90,100,70,45,70,225,Medium Slow,Water 1,,50,20
229,187,Hoppip,2,Normal,Cottonweed Pokémon,Grass,Flying,0.4,0.5,Chlorophyll,Leaf Guard,Infiltrator,35,35,40,35,55,50,255,70,50,Medium Slow,Fairy,Grass,50,20
230,188,Skiploom,2,Normal,Cottonweed Pokémon,Grass,Flying,0.6,1,Chlorophyll,Leaf Guard,Infiltrator,55,45,50,45,65,80,120,70,119,Medium Slow,Fairy,Grass,50,20
231,189,Jumpluff,2,Normal,Cottonweed Pokémon,Grass,Flying,0.8,3,Chlorophyll,Leaf Guard,Infiltrator,75,55,70,55,95,110,45,70,207,Medium Slow,Fairy,Grass,50,20
232,190,Aipom,2,Normal,Long Tail Pokémon,Normal,,0.8,11.5,Run Away,Pickup,Skill Link,55,70,55,40,55,85,45,70,72,Fast,Field,,50,20
233,191,Sunkern,2,Normal,Seed Pokémon,Grass,,0.3,1.8,Chlorophyll,Solar Power,Early Bird,30,30,30,30,30,30,235,70,36,Medium Slow,Grass,,50,20
234,192,Sunflora,2,Normal,Sun Pokémon,Grass,,0.8,8.5,Chlorophyll,Solar Power,Early Bird,75,75,55,105,85,30,120,70,149,Medium Slow,Grass,,50,20
235,193,Yanma,2,Normal,Clear Wing Pokémon,Bug,Flying,1.2,38,Speed Boost,Compound Eyes,Frisk,65,65,45,75,45,95,75,70,78,Medium Fast,Bug,,50,20
236,194,Wooper,2,Normal,Water Fish Pokémon,Water,Ground,0.4,8.5,Damp,Water Absorb,Unaware,55,45,45,25,25,15,255,70,42,Medium Fast,Field,Water 1,50,20
237,195,Quagsire,2,Normal,Water Fish Pokémon,Water,Ground,1.4,75,Damp,Water Absorb,Unaware,95,85,85,65,65,35,90,70,151,Medium Fast,Field,Water 1,50,20
238,196,Espeon,2,Normal,Sun Pokémon,Psychic,,0.9,26.5,Synchronize,,Magic Bounce,65,65,60,130,95,110,45,70,184,Medium Fast,Field,,87.5,35
239,197,Umbreon,2,Normal,Moonlight Pokémon,Dark,,1,27,Synchronize,,Inner Focus,95,65,110,60,130,65,45,35,184,Medium Fast,Field,,87.5,35
240,198,Murkrow,2,Normal,Darkness Pokémon,Dark,Flying,0.5,2.1,Insomnia,Super Luck,Prankster,60,85,42,85,42,91,30,35,81,Medium Slow,Flying,,50,20
241,199,Slowking,2,Normal,Royal Pokémon,Water,Psychic,2,79.5,Oblivious,Own Tempo,Regenerator,95,75,80,100,110,30,70,70,172,Medium Fast,Monster,Water 1,50,20
242,200,Misdreavus,2,Normal,Screech Pokémon,Ghost,,0.7,1,Levitate,,,60,60,60,85,85,85,45,35,87,Fast,Amorphous,,50,25
243,201,Unown,2,Normal,Symbol Pokémon,Psychic,,0.5,5,Levitate,,,48,72,48,72,48,48,225,70,118,Medium Fast,Undiscovered,,,40
244,202,Wobbuffet,2,Normal,Patient Pokémon,Psychic,,1.3,28.5,Shadow Tag,,Telepathy,190,33,58,33,58,33,45,70,142,Medium Fast,Amorphous,,50,20
245,203,Girafarig,2,Normal,Long Neck Pokémon,Normal,Psychic,1.5,41.5,Inner Focus,Early Bird,Sap Sipper,70,80,65,90,65,85,60,70,159,Medium Fast,Field,,50,20
246,204,Pineco,2,Normal,Bagworm Pokémon,Bug,,0.6,7.2,Sturdy,,Overcoat,50,65,90,35,35,15,190,70,58,Medium Fast,Bug,,50,20
247,205,Forretress,2,Normal,Bagworm Pokémon,Bug,Steel,1.2,125.8,Sturdy,,Overcoat,75,90,140,60,60,40,75,70,163,Medium Fast,Bug,,50,20
248,206,Dunsparce,2,Normal,Land Snake Pokémon,Normal,,1.5,14,Serene Grace,Run Away,Rattled,100,70,70,65,65,45,190,70,145,Medium Fast,Field,,50,20
249,207,Gligar,2,Normal,FlyScorpion Pokémon,Ground,Flying,1.1,64.8,Hyper Cutter,Sand Veil,Immunity,65,75,105,35,65,85,60,70,86,Medium Slow,Bug,,50,20
250,208,Steelix,2,Normal,Iron Snake Pokémon,Steel,Ground,9.2,400,Rock Head,Sturdy,Sheer Force,75,85,200,55,65,30,25,70,179,Medium Fast,Mineral,,50,25
251,208,Mega Steelix,2,Normal,Iron Snake Pokémon,Steel,Ground,10.5,740,Sand Force,,,75,125,230,55,95,30,25,70,214,Medium Fast,Mineral,,50,25
252,209,Snubbull,2,Normal,Fairy Pokémon,Fairy,,0.6,7.8,Intimidate,Run Away,Rattled,60,80,50,40,40,30,190,70,60,Fast,Fairy,Field,25,20
253,210,Granbull,2,Normal,Fairy Pokémon,Fairy,,1.4,48.7,Intimidate,Quick Feet,Rattled,90,120,75,60,60,45,75,70,158,Fast,Fairy,Field,25,20
254,211,Qwilfish,2,Normal,Balloon Pokémon,Water,Poison,0.5,3.9,Poison Point,Swift Swim,Intimidate,65,95,85,55,55,85,45,70,88,Medium Fast,Water 2,,50,20
255,212,Scizor,2,Normal,Pincer Pokémon,Bug,Steel,1.8,118,Swarm,Technician,Light Metal,70,130,100,55,80,65,25,70,175,Medium Fast,Bug,,50,25
256,212,Mega Scizor,2,Normal,Pincer Pokémon,Bug,Steel,2,125,Technician,,,70,150,140,65,100,75,25,70,210,Medium Fast,Bug,,50,25
257,213,Shuckle,2,Normal,Mold Pokémon,Bug,Rock,0.6,20.5,Sturdy,Gluttony,Contrary,20,10,230,10,230,5,190,70,177,Medium Slow,Bug,,50,20
258,214,Heracross,2,Normal,Single Horn Pokémon,Bug,Fighting,1.5,54,Swarm,Guts,Moxie,80,125,75,40,95,85,45,70,175,Slow,Bug,,50,25
259,214,Mega Heracross,2,Normal,Single Horn Pokémon,Bug,Fighting,1.7,62.5,Skill Link,,,80,185,115,40,105,75,45,70,210,Slow,Bug,,50,25
260,215,Sneasel,2,Normal,Sharp Claw Pokémon,Dark,Ice,0.9,28,Inner Focus,Keen Eye,Pickpocket,55,95,55,35,75,115,60,35,86,Medium Slow,Field,,50,20
261,216,Teddiursa,2,Normal,Little Bear Pokémon,Normal,,0.6,8.8,Pickup,Quick Feet,Honey Gather,60,80,50,50,50,40,120,70,66,Medium Fast,Field,,50,20
262,217,Ursaring,2,Normal,Hibernator Pokémon,Normal,,1.8,125.8,Guts,Quick Feet,Unnerve,90,130,75,75,75,55,60,70,175,Medium Fast,Field,,50,20
263,218,Slugma,2,Normal,Lava Pokémon,Fire,,0.7,35,Magma Armor,Flame Body,Weak Armor,40,40,40,70,40,20,190,70,50,Medium Fast,Amorphous,,50,20
264,219,Magcargo,2,Normal,Lava Pokémon,Fire,Rock,0.8,55,Magma Armor,Flame Body,Weak Armor,60,50,120,90,80,30,75,70,151,Medium Fast,Amorphous,,50,20
265,220,Swinub,2,Normal,Pig Pokémon,Ice,Ground,0.4,6.5,Oblivious,Snow Cloak,Thick Fat,50,50,40,30,30,50,225,70,50,Slow,Field,,50,20
266,221,Piloswine,2,Normal,Swine Pokémon,Ice,Ground,1.1,55.8,Oblivious,Snow Cloak,Thick Fat,100,100,80,60,60,50,75,70,158,Slow,Field,,50,20
267,222,Corsola,2,Normal,Coral Pokémon,Water,Rock,0.6,5,Hustle,Natural Cure,Regenerator,65,55,95,65,95,35,60,70,144,Fast,Water 1,Water 3,25,20
268,222,Galarian Corsola,2,Normal,Coral Pokémon,Ghost,,0.6,0.5,Weak Armor,,Cursed Body,60,55,100,65,100,30,,,,Fast,Water 1,Water 3,,20
269,223,Remoraid,2,Normal,Jet Pokémon,Water,,0.6,12,Hustle,Sniper,Moody,35,65,35,65,35,65,190,70,60,Medium Fast,Water 1,Water 2,50,20
270,224,Octillery,2,Normal,Jet Pokémon,Water,,0.9,28.5,Suction Cups,Sniper,Moody,75,105,75,105,75,45,75,70,168,Medium Fast,Water 1,Water 2,50,20
271,225,Delibird,2,Normal,Delivery Pokémon,Ice,Flying,0.9,16,Vital Spirit,Hustle,Insomnia,45,55,45,65,45,75,45,70,116,Fast,Field,Water 1,50,20
272,226,Mantine,2,Normal,Kite Pokémon,Water,Flying,2.1,220,Swift Swim,Water Absorb,Water Veil,85,40,70,80,140,70,25,70,170,Slow,Water 1,,50,25
273,227,Skarmory,2,Normal,Armor Bird Pokémon,Steel,Flying,1.7,50.5,Keen Eye,Sturdy,Weak Armor,65,80,140,40,70,70,25,70,163,Slow,Flying,,50,25
274,228,Houndour,2,Normal,Dark Pokémon,Dark,Fire,0.6,10.8,Early Bird,Flash Fire,Unnerve,45,60,30,80,50,65,120,35,66,Slow,Field,,50,20
275,229,Houndoom,2,Normal,Dark Pokémon,Dark,Fire,1.4,35,Early Bird,Flash Fire,Unnerve,75,90,50,110,80,95,45,35,175,Slow,Field,,50,20
276,229,Mega Houndoom,2,Normal,Dark Pokémon,Dark,Fire,1.9,49.5,Solar Power,,,75,90,90,140,90,115,45,35,210,Slow,Field,,50,20
277,230,Kingdra,2,Normal,Dragon Pokémon,Water,Dragon,1.8,152,Swift Swim,Sniper,Damp,75,95,95,95,95,85,45,70,243,Medium Fast,Dragon,Water 1,50,20
278,231,Phanpy,2,Normal,Long Nose Pokémon,Ground,,0.5,33.5,Pickup,,Sand Veil,90,60,60,40,40,40,120,70,66,Medium Fast,Field,,50,20
279,232,Donphan,2,Normal,Armor Pokémon,Ground,,1.1,120,Sturdy,,Sand Veil,90,120,120,60,60,50,60,70,175,Medium Fast,Field,,50,20
280,233,Porygon2,2,Normal,Virtual Pokémon,Normal,,0.6,32.5,Trace,Download,Analytic,85,80,90,105,95,60,45,70,180,Medium Fast,Mineral,,,20
281,234,Stantler,2,Normal,Big Horn Pokémon,Normal,,1.4,71.2,Intimidate,Frisk,Sap Sipper,73,95,62,85,65,85,45,70,163,Slow,Field,,50,20
282,235,Smeargle,2,Normal,Painter Pokémon,Normal,,1.2,58,Own Tempo,Technician,Moody,55,20,35,20,45,75,45,70,88,Fast,Field,,50,20
283,236,Tyrogue,2,Normal,Scuffle Pokémon,Fighting,,0.7,21,Guts,Steadfast,Vital Spirit,35,35,35,35,35,35,75,70,42,Medium Fast,Undiscovered,,100,25
284,237,Hitmontop,2,Normal,Handstand Pokémon,Fighting,,1.4,48,Intimidate,Technician,Steadfast,50,95,95,35,110,70,45,70,159,Medium Fast,Human-Like,,100,25
285,238,Smoochum,2,Normal,Kiss Pokémon,Ice,Psychic,0.4,6,Oblivious,Forewarn,Hydration,45,30,15,85,65,65,45,70,61,Medium Fast,Undiscovered,,0,25
286,239,Elekid,2,Normal,Electric Pokémon,Electric,,0.6,23.5,Static,,Vital Spirit,45,63,37,65,55,95,45,70,72,Medium Fast,Undiscovered,,75,25
287,240,Magby,2,Normal,Live Coal Pokémon,Fire,,0.7,21.4,Flame Body,,Vital Spirit,45,75,37,70,55,83,45,70,73,Medium Fast,Undiscovered,,75,25
288,241,Miltank,2,Normal,Milk Cow Pokémon,Normal,,1.2,75.5,Thick Fat,Scrappy,Sap Sipper,95,80,105,40,70,100,45,70,172,Slow,Field,,0,20
289,242,Blissey,2,Normal,Happiness Pokémon,Normal,,1.5,46.8,Natural Cure,Serene Grace,Healer,255,10,10,75,135,55,30,140,608,Fast,Fairy,,0,40
290,243,Raikou,2,Sub Legendary,Thunder Pokémon,Electric,,1.9,178,Pressure,,Inner Focus,90,85,75,115,100,115,3,35,261,Slow,Undiscovered,,,80
291,244,Entei,2,Sub Legendary,Volcano Pokémon,Fire,,2.1,198,Pressure,,Inner Focus,115,115,85,90,75,100,3,35,261,Slow,Undiscovered,,,80
292,245,Suicune,2,Sub Legendary,Aurora Pokémon,Water,,2,187,Pressure,,Inner Focus,100,75,115,90,115,85,3,35,261,Slow,Undiscovered,,,80
293,246,Larvitar,2,Normal,Rock Skin Pokémon,Rock,Ground,0.6,72,Guts,,Sand Veil,50,64,50,45,50,41,45,35,60,Slow,Monster,,50,40
294,247,Pupitar,2,Normal,Hard Shell Pokémon,Rock,Ground,1.2,152,Shed Skin,,,70,84,70,65,70,51,45,35,144,Slow,Monster,,50,40
295,248,Tyranitar,2,Normal,Armor Pokémon,Rock,Dark,2,202,Sand Stream,,Unnerve,100,134,110,95,100,61,45,35,270,Slow,Monster,,50,40
296,248,Mega Tyranitar,2,Normal,Armor Pokémon,Rock,Dark,2.5,255,Sand Stream,,,100,164,150,95,120,71,45,35,315,Slow,Monster,,50,40
297,249,Lugia,2,Legendary,Diving Pokémon,Psychic,Flying,5.2,216,Pressure,,Multiscale,106,90,130,90,154,110,3,0,306,Slow,Undiscovered,,,120
298,250,Ho-oh,2,Legendary,Rainbow Pokémon,Fire,Flying,3.8,199,Pressure,,Regenerator,106,130,90,110,154,90,3,0,306,Slow,Undiscovered,,,120
299,251,Celebi,2,Mythical,Time Travel Pokémon,Psychic,Grass,0.6,5,Natural Cure,,,100,100,100,100,100,100,45,100,270,Medium Slow,Undiscovered,,,120
300,252,Treecko,3,Normal,Wood Gecko Pokémon,Grass,,0.5,5,Overgrow,,Unburden,40,45,35,65,55,70,45,70,62,Medium Slow,Dragon,Monster,87.5,20
301,253,Grovyle,3,Normal,Wood Gecko Pokémon,Grass,,0.9,21.6,Overgrow,,Unburden,50,65,45,85,65,95,45,70,142,Medium Slow,Dragon,Monster,87.5,20
302,254,Sceptile,3,Normal,Forest Pokémon,Grass,,1.7,52.2,Overgrow,,Unburden,70,85,65,105,85,120,45,70,239,Medium Slow,Dragon,Monster,87.5,20
303,254,Mega Sceptile,3,Normal,Forest Pokémon,Grass,Dragon,1.9,55.2,Lightning Rod,,,70,110,75,145,85,145,45,70,284,Medium Slow,Dragon,Monster,87.5,20
304,255,Torchic,3,Normal,Chick Pokémon,Fire,,0.4,2.5,Blaze,,Speed Boost,45,60,40,70,50,45,45,70,62,Medium Slow,Field,,87.5,20
